customer_id,age,gender,location,income_level,education,account_age_days,total_orders,avg_order_value,last_order_days_ago,product_category_preference,email_open_rate,website_visits_per_month,mobile_app_user,loyalty_program_member,customer_service_interactions,cart_abandonment_rate,review_count,avg_rating_given,social_media_follower,conversion_rate,lifetime_value,churn_probability,response_to_marketing
CUST000001,43,Male,Urban,High,PhD,259,3,171.83,101,Books,40.7,17,No,No,0.0,38.1,1.0,4.3,No,40.9,578.43,31.2,1
CUST000002,36,Non-binary,Urban,High,PhD,165,3,104.9,151,Home,46.4,13,No,No,0.0,40.8,0.0,3.3,Yes,32.0,358.51,49.8,1
CUST000003,45,Female,Suburban,Medium,Bachelor,572,11,14.55,356,Home,38.5,7,No,No,0.0,28.9,3.0,3.6,No,25.6,178.54,87.0,0
CUST000004,56,Female,Suburban,Medium,Bachelor,624,10,71.3,49,Home,35.5,4,Yes,No,0.0,30.2,1.0,4.7,No,28.1,788.93,39.1,1
CUST000005,35,Female,Suburban,High,Master,1079,20,150.87,2,Electronics,34.4,14,Yes,No,1.0,37.0,5.0,3.8,No,54.6,3328.8,35.8,1
CUST000006,35,Male,Urban,Medium,High School,682,5,42.1,14,Home,54.4,18,No,No,0.0,24.9,1.0,4.4,Yes,19.0,244.85,32.9,1
CUST000007,56,Male,Urban,High,High School,339,7,161.55,26,Books,18.2,7,No,No,0.0,,0.0,3.8,No,7.9,1192.59,52.5,1
CUST000008,47,Female,Suburban,High,Bachelor,877,7,129.3,13,Fashion,,9,No,No,0.0,34.4,1.0,3.6,No,30.0,995.79,19.2,1
CUST000009,32,Male,Urban,High,High School,77,4,111.36,36,Books,43.8,24,Yes,No,0.0,39.3,0.0,4.8,Yes,22.2,503.97,40.1,1
CUST000010,44,Male,Urban,High,High School,145,2,110.85,8,Fashion,55.5,6,No,No,0.0,21.8,,4.9,No,29.5,258.61,10.9,1
CUST000011,32,Female,Suburban,Medium,High School,549,5,51.96,77,Fashion,19.0,15,No,No,0.0,,1.0,4.7,No,17.9,274.61,50.3,1
CUST000012,32,Male,Urban,Low,Master,506,2,62.04,91,Electronics,14.9,19,Yes,No,0.0,62.5,1.0,3.9,Yes,2.1,129.63,41.6,0
CUST000013,40,Female,Suburban,Medium,High School,523,2,60.97,21,Electronics,40.4,8,Yes,No,1.0,46.5,0.0,4.9,No,4.5,136.72,25.9,1
CUST000014,18,Female,Urban,Medium,Bachelor,502,9,32.52,181,Sports,31.2,30,No,No,1.0,46.1,3.0,3.7,No,16.7,320.07,66.0,0
CUST000015,18,Female,Urban,Low,Bachelor,83,0,12.96,76,Electronics,58.8,25,No,No,0.0,30.5,,4.7,No,10.0,0.0,35.3,1
CUST000016,31,Female,Urban,Low,Bachelor,992,18,19.63,1,Books,33.8,15,Yes,No,1.0,35.6,3.0,3.3,No,14.2,389.17,13.2,0
CUST000017,25,Male,Suburban,High,High School,1169,10,197.62,2,Electronics,41.8,12,Yes,No,0.0,36.1,0.0,3.9,Yes,7.1,2224.02,22.2,0
CUST000018,41,Male,Suburban,Medium,PhD,516,10,56.46,117,Fashion,51.6,5,No,Yes,1.0,37.4,2.0,4.9,Yes,39.3,652.0,55.2,1
CUST000019,27,Male,Suburban,Low,High School,668,7,47.46,223,Electronics,25.3,9,Yes,Yes,0.0,58.6,,4.8,Yes,0.0,357.44,56.9,0
CUST000020,21,Female,Suburban,Low,Master,901,8,10.0,94,Fashion,66.4,14,Yes,No,3.0,20.0,2.0,4.5,Yes,11.3,95.94,9.1,1
CUST000021,55,Male,Urban,Very High,Bachelor,866,14,83.1,116,Home,61.6,11,No,No,0.0,16.0,2.0,4.8,No,36.8,1378.4,10.1,1
CUST000022,35,Male,Urban,High,High School,370,8,142.06,9,Electronics,41.1,13,Yes,No,0.0,43.1,1.0,,No,20.4,1276.61,9.1,1
